g_flow_rule_tab
key_fid             0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
sid                 0      4      8      12     1      5      9      13     2      6      10     14     3      7      11     15 
did                 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
pri                 0      1      2      3      0      1      2      3      0      1      2      3      0      1      2      3 
len                 256    511    766    1021   1276   1531   1786   2041   2296   2551   2806   3061   3316   3571   3826   4081 
sport               0      1      2      3      0      1      2      3      0      1      2      3      0      1      2      3 
dport               0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
qid                 0      4      8      12     0      4      8      12     0      4      8      12     0      4      8      12 
len2add             0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
flw_spd             12     12     12     12     12     12     12     12     12     12     12     12     12     12     12     12 
g_hash_rule_tab
key_sid             0      4      8      12     1      5      9      13     2      6      10     14     3      7      11     15 
key_did             0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
key_pri             0      1      2      3      0      1      2      3      0      1      2      3      0      1      2      3 
hash_fid            0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
g_que_rule_tab
key_qid             0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
pri                 0      0      0      0      1      1      1      1      2      2      2      2      3      3      3      3 
rr_weight           1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1 
g_port_rule_tab
key_ports           0      1      2      3                                                                                  
port_spd            100    100    100    100                                                                                
EOF
