g_flow_rule_tab
key_fid             0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
sid                 0      4      8      12     1      5      9      13     2      6      10     14     3      7      11     15 
did                 0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
pri                 0      0      0      0      1      1      1      1      2      2      2      2      3      3      3      3 
len                 256    255    254    253    252    251    250    249    248    247    246    245    244    243    242    241 
sport               0      1      2      3      0      1      2      3      0      1      2      3      0      1      2      3 
dport               0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
qid                 0      0      0      0      4      4      4      4      8      8      8      8      12     12     12     12 
len2add             0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
flw_spd             12     12     12     12     12     12     12     12     12     12     12     12     12     12     12     12 
g_hash_rule_tab
key_sid             0      4      8      12     1      5      9      13     2      6      10     14     3      7      11     15 
key_did             0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
key_pri             0      0      0      0      1      1      1      1      2      2      2      2      3      3      3      3 
hash_fid            0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
g_que_rule_tab
key_qid             0      1      2      3      4      5      6      7      8      9      10     11     12     13     14     15 
pri                 0      0      0      0      1      1      1      1      2      2      2      2      3      3      3      3 
rr_weight           4      0      0      0      4      0      0      0      4      0      0      0      4      0      0      0 
g_port_rule_tab
key_ports           0      1      2      3                                                                                  
port_spd            100    100    100    100                                                                                
EOF
